Track; CC; Mirror; nPlayers; Justus; Lukas
ac; 150; 0; 11; [2, 7, 0, 0]; [1, 12, 1, 0]
ccb; 150; 1; 12; [1, 11, 2, 0]; [2, 8, 1, 1]
tt; 150; 0; 12; [3, 3, 0, 0]; [1, 13, 1, 0]
ribbon; 150; 1; 11; [8, -14, 0, 0]; [2, 8, 0, 1]
mcgba; 150; 0; 11; [1, 11, 0, 0]; [8, -17, 1, 0]
yc; 150; 0; 12; [5, -1, 2, 0]; [1, 12, 0, 1]
dd; 150; 0; 12; [4, 1, 2, 0]; [1, 13, 1, 0]
hc; 150; 0; 11; [3, 5, 0, 1]; [1, 15, 0, 0]
mutec; 200; 0; 12; [2, 10, 0, 1]; [5, -6, 0, 0]
tr; 150; 0; 11; [9, -16, 2, 0]; [4, 2, 1, 0]
e; 150; 0; 10; [3, 5, 0, 0]; [4, 0, 1, 0]
hc; 150; 0; 11; [4, 4, 2, 0]; [7, -10, 0, 0]
mw; 150; 0; 10; [3, 6, 0, 0]; [6, -9, 2, 0]
wgm; 150; 1; 10; [1, 16, 1, 1]; [2, 12, 0, 1]
dd; 150; 0; 9; [4, 0, 1, 0]; [2, 10, 1, 0]
ttc; 150; 0; 10; [2, 12, 1, 0]; [1, 17, 0, 2]
rr; 150; 0; 8; [4, -1, 2, 0]; [1, 12, 0, 0]
bb; 150; 0; 11; [2, 12, 0, 1]; [4, 3, 0, 0]
royal; 150; 1; 12; [5, 1, 2, 0]; [1, 17, 1, 1]
mc; 150; 0; 11; [1, 13, 1, 1]; [2, 8, 0, 0]
rrn64; 150; 0; 11; [3, 4, 1, 0]; [2, 9, 2, 0]
royal; 150; 0; 10; [1, 10, 0, 0]; [3, 2, 2, 0]
bp; 150; 1; 11; [4, 0, 0, 0]; [3, 4, 0, 0]
