Track; CC; Mirror; nPlayers; Justus; Lukas
th; 150; 0; 12; [10, -18, 1, 1]; [6, -5, 0, 1]
yv; 150; 0; 12; [5, -1, 1, 0]; [2, 8, 1, 0]
ccb; 150; 0; 12; [5, 0, 1, 0]; [2, 10, 1, 0]
rrn64; 150; 0; 12; [5, 1, 0, 0]; [1, 13, 0, 0]
cl; 150; 1; 10; [6, -8, 1, 0]; [3, 3, 2, 0]
yc; 150; 0; 12; [1, 15, 2, 0]; [2, 9, 1, 1]
hc; 200; 0; 11; [2, 9, 0, 0]; [1, 12, 0, 1]
ddd; 150; 0; 12; [7, -7, 3, 0]; [3, 4, 0, 0]
ribbon; 150; 0; 10; [1, 15, 2, 0]; [4, 0, 0, 1]
ea; 150; 1; 11; [3, 6, 1, 0]; [2, 9, 1, 0]
hc; 150; 0; 11; [4, 5, 2, 0]; [2, 10, 0, 1]
mutec; 150; 0; 11; [2, 12, 1, 0]; [1, 15, 1, 0]
yc; 150; 0; 10; [5, -1, 1, 0]; [3, 4, 2, 0]
mutec; 150; 0; 10; [4, 0, 2, 0]; [3, 4, 1, 0]
ccb; 150; 1; 11; [4, 3, 1, 0]; [1, 14, 0, 0]
pps; 150; 0; 7; [1, 8, 2, 0]; [2, 1, 2, 1]
royal; 150; 0; 12; [6, -3, 1, 0]; [1, 13, 0, 0]
dd; 150; 0; 12; [9, -12, 2, 0]; [4, 2, 1, 0]
mks; 150; 0; 12; [4, 3, 1, 0]; [2, 10, 0, 0]
cc; 150; 0; 8; [6, -7, 1, 0]; [3, 7, 2, 0]
royal; 150; 0; 12; [6, 0, 2, 0]; [9, -13, 1, 0]
hc; 150; 0; 12; [5, 2, 1, 0]; [2, 13, 1, 0]
rr; 150; 0; 11; [5, 1, 0, 0]; [3, 8, 0, 0]
ttc; 150; 0; 11; [5, 2, 0, 0]; [2, 13, 0, 0]
dd; 150; 0; 12; [3, 15, 0, 0]; [9, -8, 2, 0]
ttc; 150; 0; 12; [4, 13, 1, 0]; [6, 4, 3, 0]
mc; 150; 0; 12; [4, 11, 1, 0]; [10, -11, 0, 0]
ttc; 150; 0; 12; [5, 8, 2, 0]; [1, 22, 0, 0]
cc; 150; 0; 11; [8, -1, 1, 0]; [9, -6, 0, 0]
mutec; 150; 0; 12; [6, 3, 0, 0]; [3, 10, 2, 0]
mcgba; 150; 0; 12; [5, 13, 1, 0]; [1, 28, 0, 0]
yv; 150; 0; 10; [6, 10, 2, 0]; [1, 31, 0, 0]
dkj; 150; 0; 12; [12, -12, 1, 1]; [2, 20, 0, 1]
gv; 150; 0; 9; [9, -8, 1, 0]; [6, 5, 0, 0]
rrsnes; 150; 0; 9; [7, 1, 1, 0]; [2, 23, 0, 0]
wgm; 150; 0; 11; [7, 7, 1, 0]; [9, -3, 0, 0]
sgf; 150; 0; 11; [6, 10, 0, 0]; [5, 15, 0, 0]
rr; 150; 0; 12; [8, 4, 0, 0]; [6, 9, 1, 0]
pps; 150; 0; 12; [6, 5, 1, 0]; [5, 9, 1, 0]
bb; 150; 0; 12; [11, -10, 1, 0]; [6, 5, 0, 0]
pps; 150; 0; 12; [9, -4, 1, 0]; [12, -17, 1, 0]
nbc; 150; 1; 12; [4, 13, 0, 0]; [2, 20, 0, 0]
gv; 150; 0; 11; [10, -7, 0, 0]; [9, -5, 3, 0]
tm; 150; 0; 9; [7, -2, 2, 0]; [5, 7, 0, 0]
ssc; 150; 0; 12; [9, -5, 1, 0]; [4, 12, 1, 0]
yc; 150; 1; 12; [8, -1, 0, 0]; [4, 13, 0, 0]
ddd; 150; 0; 12; [10, -7, 2, 0]; [4, 12, 0, 1]
mcgba; 150; 0; 12; [7, 2, 0, 0]; [5, 9, 0, 0]
e; 150; 0; 12; [3, 22, 1, 0]; [7, 7, 1, 0]
cl; 200; 0; 12; [6, 8, 1, 0]; [2, 22, 1, 0]
