Track; CC; Mirror; nPlayers; Justus; Lukas
tr; 150; 0; 12; [9, -3, 2, 0]; [8, 0, 1, 0]
ac; 150; 0; 7; [4, 4, 0, 0]; [3, 9, 0, 0]
ssc; 150; 0; 11; [3, 17, 2, 0]; [5, 6, 0, 0]
bc; 150; 0; 12; [4, 10, 1, 0]; [1, 20, 1, 0]
rrn64; 150; 0; 12; [3, 14, 0, 0]; [1, 21, 0, 0]
royal; 200; 0; 11; [4, 10, 1, 0]; [3, 11, 1, 1]
ccb; 150; 0; 12; [2, 18, 0, 0]; [3, 13, 0, 0]
yv; 150; 0; 11; [2, 19, 0, 0]; [4, 10, 1, 0]
rrsnes; 150; 0; 12; [3, 16, 1, 1]; [9, -9, 0, 0]
rr; 150; 0; 12; [3, 15, 1, 0]; [2, 18, 1, 1]
bc; 200; 0; 10; [1, 20, 0, 0]; [5, -1, 0, 0]
ccb; 150; 0; 12; [9, -10, 2, 0]; [11, -20, 2, 0]
