Track; CC; Mirror; nPlayers; Justus; Lukas
bc; 150; 0; 10; [2, 21, 0, 1]; [5, 5, 1, 0]
mp; 150; 0; 11; [9, -7, 3, 0]; [5, 6, 2, 0]
sa; 150; 0; 12; [5, 9, 1, 0]; [1, 22, 0, 1]
e; 150; 0; 11; [3, 16, 2, 0]; [2, 17, 1, 0]
yc; 150; 0; 10; [7, -1, 3, 0]; [1, 23, 0, 0]
mcgba; 150; 0; 12; [2, 18, 0, 0]; [6, 2, 1, 0]
gv; 150; 0; 12; [3, 16, 0, 0]; [4, 8, 0, 0]
bc; 150; 0; 12; [4, 12, 1, 0]; [7, 0, 1, 0]
e; 150; 0; 12; [5, 12, 1, 0]; [1, 25, 1, 0]
dkj; 150; 1; 12; [5, 12, 0, 0]; [8, -1, 0, 0]
rrsnes; 150; 0; 12; [1, 24, 0, 0]; [3, 15, 0, 0]
mutec; 150; 0; 12; [6, 11, 1, 0]; [7, 5, 1, 0]
rr; 150; 1; 12; [1, 29, 0, 0]; [10, -5, 0, 0]
nbc; 150; 1; 12; [9, 1, 1, 0]; [7, 7, 0, 0]
iic; 150; 0; 12; [10, -4, 2, 0]; [12, -13, 1, 0]
