Track; CC; Mirror; nPlayers; Justus; Lukas
th; 150; 0; 12; [1, 22, 1, 0]; [2, 19, 0, 1]
ddd; 150; 0; 12; [4, 10, 1, 0]; [6, 1, 1, 0]
tm; 150; 0; 12; [5, 5, 1, 0]; [9, -13, 0, 0]
yv; 150; 0; 11; [4, 10, 1, 0]; [5, 4, 0, 0]
rr; 150; 0; 12; [8, -3, 3, 0]; [11, -21, 0, 0]
mw; 150; 0; 12; [10, -11, 1, 0]; [8, -6, 1, 0]
dp3; 150; 0; 9; [8, -11, 3, 0]; [3, 14, 0, 0]
bp; 150; 0; 10; [3, 14, 0, 0]; [8, -15, 0, 0]
ds; 150; 0; 9; [6, -5, 1, 0]; [3, 11, 1, 0]
bp; 150; 1; 11; [5, 6, 2, 0]; [2, 20, 0, 0]
hc; 150; 0; 11; [4, 11, 1, 0]; [1, 25, 0, 1]
mks; 150; 0; 12; [8, -5, 1, 0]; [2, 20, 0, 0]
sl; 200; 0; 10; [8, -8, 1, 0]; [2, 21, 1, 0]
