Track; CC; Mirror; nPlayers; Justus; Lukas
ac; 150; 0; 11; [6, 10, 0, 0]; [7, 2, 1, 0]
rrn64; 150; 0; 10; [5, 15, 0, 0]; [10, -16, 0, 0]
mw; 150; 0; 10; [5, 10, 0, 0]; [2, 24, 0, 0]
sbs; 150; 0; 9; [5, 2, 1, 0]; [7, -10, 2, 0]
ssc; 150; 0; 12; [1, 18, 0, 0]; [4, 9, 2, 0]
ac; 150; 0; 8; [4, 0, 0, 0]; [3, 7, 0, 0]
ac; 150; 0; 11; [1, 19, 0, 0]; [2, 17, 2, 0]
cl; 150; 0; 11; [1, 17, 1, 0]; [9, -20, 1, 0]
tt; 150; 1; 12; [7, 1, 1, 0]; [4, 11, 1, 0]
cc; 150; 1; 11; [10, -14, 2, 0]; [2, 20, 0, 0]
bc; 150; 0; 12; [1, 23, 0, 0]; [9, -11, 0, 0]
yc; 200; 0; 11; [7, -1, 0, 0]; [5, 5, 0, 0]
