Track; CC; Mirror; nPlayers; Justus; Lukas
tt; 150; 1; 12; [5, 7, 0, 0]; [2, 16, 1, 0]
rrn64; 150; 0; 12; [3, 13, 0, 0]; [2, 15, 0, 0]
ccb; 150; 0; 12; [6, 3, 2, 0]; [3, 12, 1, 0]
sa; 150; 0; 12; [2, 17, 0, 0]; [4, 8, 1, 0]
rrn64; 200; 0; 12; [10, -10, 1, 0]; [4, 9, 1, 0]
rrsnes; 150; 0; 12; [5, 7, 1, 0]; [3, 12, 1, 0]
iic; 150; 0; 12; [2, 16, 1, 0]; [5, 5, 2, 1]
ttc; 150; 0; 10; [5, 2, 2, 0]; [1, 17, 0, 1]
pps; 150; 0; 12; [3, 15, 2, 0]; [10, -12, 2, 0]
hc; 150; 0; 12; [3, 14, 1, 0]; [1, 17, 0, 0]
yc; 150; 0; 9; [6, -2, 2, 0]; [3, 12, 2, 0]
ttc; 150; 1; 10; [1, 20, 0, 0]; [5, 0, 1, 1]
ssc; 150; 0; 12; [7, 0, 3, 0]; [2, 16, 1, 0]
mcgba; 150; 0; 12; [11, -14, 0, 1]; [3, 12, 0, 0]
bc; 150; 0; 10; [1, 21, 0, 0]; [6, -5, 0, 0]
sbs; 150; 0; 12; [1, 21, 0, 1]; [6, 0, 2, 0]
