Track; CC; Mirror; nPlayers; Justus; Lukas
rr; 150; 0; 12; [6, 0, 2, 0]; [5, 1, 3, 0]
mc; 150; 0; 10; [4, 5, 2, 0]; [2, 12, 2, 0]
bb; 150; 0; 11; [1, 17, 0, 0]; [3, 7, 0, 0]
dd; 150; 0; 12; [11, -16, 2, 0]; [6, -2, 1, 0]
ea; 150; 0; 11; [2, 14, 2, 0]; [5, 0, 0, 0]
wgm; 150; 0; 10; [2, 13, 2, 0]; [4, 3, 1, 0]
ttc; 150; 0; 12; [3, 11, 1, 0]; [6, -1, 2, 0]
bb; 150; 0; 9; [3, 9, 1, 0]; [4, 1, 1, 0]
mmm; 150; 0; 11; [6, 3, 1, 0]; [4, 11, 0, 0]
dp3; 150; 0; 11; [7, 1, 1, 0]; [11, -18, 1, 0]
cl; 150; 1; 11; [7, 1, 0, 0]; [3, 12, 1, 0]
wgm; 150; 0; 12; [3, 17, 1, 0]; [4, 11, 0, 1]
ww; 150; 0; 11; [9, -10, 1, 0]; [7, -4, 2, 0]
mutec; 150; 0; 11; [1, 22, 1, 0]; [8, -8, 3, 0]
hc; 150; 0; 12; [8, -5, 1, 0]; [1, 18, 1, 1]
bc; 150; 0; 11; [2, 18, 2, 0]; [8, -8, 2, 0]
sgf; 150; 1; 12; [3, 12, 1, 0]; [2, 14, 1, 0]
e; 150; 0; 12; [5, 7, 1, 0]; [4, 9, 2, 0]
dp3; 150; 1; 10; [6, -1, 1, 0]; [2, 14, 0, 0]
mmm; 150; 0; 11; [3, 13, 0, 0]; [2, 15, 1, 0]
mutec; 150; 0; 12; [3, 15, 1, 0]; [4, 9, 2, 0]
mc; 150; 0; 12; [7, -1, 2, 0]; [2, 15, 0, 0]
ww; 150; 0; 12; [7, 0, 1, 0]; [2, 16, 0, 0]
nbc; 150; 0; 10; [2, 17, 1, 0]; [3, 10, 1, 1]
